name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
agenix-rekey,,https://github.com/oddlama/agenix-rekey,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,An agenix extension adding secret generation and automatic rekeying using a YubiKey or master-identity,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
alejandra,,https://kamadorueda.github.io/alejandra/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,The Uncompromising Nix Code Formatter,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
all-cabal-json,,https://github.com/nix-community/all-cabal-json,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A repository containing all of the cabal files for all public Haskell packages converted to json,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
android-nixpkgs,,https://github.com/tadfisher/android-nixpkgs,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Nix-packaged Android SDK,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
attic,,https://docs.attic.rs/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Multi-tenant Nix Binary Cache,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
authentik-nix,,https://github.com/nix-community/authentik-nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,"Nix flake with package, NixOS module and basic VM test for authentik",,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
awesome-nix,,https://github.com/nix-community/awesome-nix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,A curated list of the best resources,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
bento,,https://github.com/rapenne-s/bento/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,A KISS deployment tool to keep your NixOS fleet,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
bitte,,https://github.com/input-output-hk/bitte,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,"Nix Ops for Terraform, Consul, Vault, Nomad",,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Bob,,https://bob.build/,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,commercial,,,,Bob is a high-level build tool for multi-language projects.,,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
builtwithnix.org,,https://builtwithnix.org,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Share the love of Nix,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
bundix,,https://github.com/nix-community/bundix,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Nix expression for your Bundler-managed application,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
cache-nix-action,,https://github.com/nix-community/cache-nix-action,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Cache Nix store in GitHub Actions,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
cachix,,https://cachix.org/,logos/76ceb4d39aaf8d4c4e7b534f5d568d468ac1395595f680c2c1958e9b3d671f78.svg,,https://www.crunchbase.com/organization/cachix,,,commercial,,,,Nix Binary Cache hosting infrastructure.,,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
cachix-deploy,,https://app.cachix.org/deploy/,logos/76ceb4d39aaf8d4c4e7b534f5d568d468ac1395595f680c2c1958e9b3d671f78.svg,,,,,commercial,,,,"Continuous deployments to a Nix profile (like NixOS, nix-darwin or Home Manager) using a pull model.",,,,,,,,,,,,Infrastructure,Deployment Tools,,,,,,,,,,,,,,,,,,,,,,,,
cicero,,https://handbook.cicero.ci.iog.io,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,event-driven automation for Nomad,,,,,,,,,,,,Infrastructure,CI / CD,,,,,,,,,,,,,,,,,,,,,,,,
clj2nix,,https://github.com/hlolli/clj2nix,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,Convert deps.edn to a nix expression,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
colmena,,https://github.com/zhaofengli/colmena,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,"A simple, stateless NixOS deployment tool",,,,,,,,,,,,Infrastructure,Deployment Tools,,,,,,,,,,,,,,,,,,,,,,,,
comma,,https://github.com/nix-community/comma,logos/0102bebaa4146198deb34195673de3b0ec7c183210f6ef5f4542424e454e4f91.svg,,,,,,,,,Comma runs software without installing it,,,,,,,,,,,,Others,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
crane,,https://github.com/ipetkov/crane,logos/1320acde6243c0cc494a228127ad1fbba670d8310933be524a0fa2f2d25ac682.svg,,,,,,,,,A Nix library for building cargo projects. Never build twice thanks to incremental artifact caching.,,,,,,,,,,,,Builders,Rust,,,,,,,,,,,,,,,,,,,,,,,,
